level_0,index,Area_Type,State Name,District Name,Water_Body_Type,Water_body_in_use,Reason_for_Water_Body_Use,Water_Body_Nature,construcion_year,construction_cost,Renovation_Year,renovation_cost,Repair_Renovation_Status,Original_Storage_Capacity,Present_Storage_Capacity,filled_up_storage_name,filled_up_storage_space_name,no_people_benefited_by_water_body,reason_water_body_in_use_name2,storage_capacity_change,population_density_benefited
638,638,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1200,1050,Full,Filled up every year,20.0,,-150,1.1251010766788274
639,639,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2017.0,50000.0,,,0,1000,100,Upto 3/4,Rarely filled up,3.0,Ground water recharge,-900,1.1251010766788274
640,640,Rural,UTTARAKHAND,RUDARPRAYAG,Water consv schemes/percolation tanks/check-dams,1,Irrigation,Man-made,2012.0,50000.0,,,0,0,0,,,8.0,Other,0,1.1251010766788274
641,641,Rural,UTTARAKHAND,RUDARPRAYAG,Water consv schemes/percolation tanks/check-dams,1,Ground water recharge,Man-made,2019.0,100000.0,,,0,0,0,,,8.0,Pisciculture,0,1.1251010766788274
642,642,Rural,UTTARAKHAND,NANITAL,Tank,1,Irrigation,Man-made,2017.0,250000.0,,,0,48,48,Full,Filled up every year,7.0,Domestic/Drinking,0,1.1251010766788274
643,643,Rural,UTTARAKHAND,NANITAL,Tank,1,Pisciculture,Man-made,2015.0,85000.0,2016.0,8010.0,0,45,40,Upto 3/4,Usually filled up,9.0,Recreation,-5,0.004993758
644,644,Rural,UTTARAKHAND,NANITAL,Ponds,1,Pisciculture,Natural,,,2016.0,26401.0,0,1246,1160,Upto 3/4,Usually filled up,12.0,Recreation,-86,0.04393773
645,645,Rural,UTTARAKHAND,DEHRADUN,Ponds,1,Ground water recharge,Man-made,2018.0,94400.0,,,0,187,150,Upto 1/2,Usually filled up,3.0,,-37,1.1251010766788274
646,646,Rural,UTTARAKHAND,DEHRADUN,Ponds,1,Ground water recharge,Man-made,2018.0,94000.0,,,0,97,90,Upto 1/2,Usually filled up,2.0,,-7,1.1251010766788274
647,647,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3000,2670,Full,Filled up every year,4.0,,-330,1.1251010766788274
648,648,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,0,other,Man-made,2014.0,25000.0,,,0,300,1,Nil/Negligible filled up,Never filled up,3.0,,-299,1.1251010766788274
649,649,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,1,Pisciculture,Man-made,2015.0,40000.0,,,0,300,300,Full,Filled up every year,16.0,,0,1.1251010766788274
650,650,Rural,UTTARAKHAND,DEHRADUN,Ponds,1,Ground water recharge,Man-made,2011.0,100000.0,,,0,100,80,Upto 1/2,Usually filled up,2.0,,-20,1.1251010766788274
651,651,Rural,UTTARAKHAND,NANITAL,Tank,1,Irrigation,Man-made,2017.0,75000.0,,,0,34,28,Upto 3/4,Rarely filled up,4.0,Pisciculture,-6,1.1251010766788274
652,652,Rural,UTTARAKHAND,RUDARPRAYAG,Ponds,0,other,Man-made,2016.0,120000.0,,,0,150,130,Upto 1/2,Filled up every year,2.0,,-20,1.1251010766788274
653,653,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,734,367,Upto 1/2,Usually filled up,3.0,,-367,1.1251010766788274
654,654,Rural,UTTARAKHAND,RUDARPRAYAG,Ponds,1,Pisciculture,Man-made,2017.0,100000.0,,,0,75,75,Full,Filled up every year,7.0,Ground water recharge,0,1.1251010766788274
655,655,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2018.0,250000.0,,,0,140,140,Full,Filled up every year,5.0,,0,1.1251010766788274
656,656,Rural,UTTARAKHAND,DEHRADUN,Reservoirs,1,Irrigation,Man-made,2017.0,300000.0,,,0,180,180,Full,Filled up every year,50.0,,0,1.1251010766788274
657,657,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5500,4100,Full,Filled up every year,6.0,,-1400,1.1251010766788274
658,658,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Natural,,,,,0,4200,1200,Upto 1/2,Usually filled up,50.0,Other,-3000,1.1251010766788274
659,659,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Natural,,,,,0,1800,1500,Upto 1/2,Filled up every year,100.0,Other,-300,1.1251010766788274
660,660,Rural,UTTARAKHAND,RUDARPRAYAG,Ponds,1,Pisciculture,Man-made,2012.0,100000.0,,,0,100000,100000,Upto 3/4,Usually filled up,1.0,Ground water recharge,0,1.1251010766788274
661,661,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,61000.0,,,0,270,270,Nil/Negligible filled up,Rarely filled up,1.0,,0,1.1251010766788274
662,662,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,98000.0,,,0,1575,1575,Upto 1/4,Rarely filled up,4.0,,0,1.1251010766788274
663,663,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4466,3654,Upto 3/4,Usually filled up,50.0,,-812,1.1251010766788274
664,664,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3300,550,Nil/Negligible filled up,Never filled up,20.0,,-2750,1.1251010766788274
665,665,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2002.0,50000.0,2012.0,5000.0,0,22504,11000,Upto 1/2,Usually filled up,11.0,Ground water recharge,-11504,2.2
666,666,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2002.0,40000.0,2012.0,5000.0,0,1584,700,Upto 1/2,Usually filled up,7.0,Ground water recharge,-884,0.14
667,667,Urban,UTTARAKHAND,UTTARKASHI,Lakes,1,Industrial,Man-made,2002.0,1200000000.0,,,0,400000,400000,Full,Filled up every year,5000.0,,0,1.1251010766788274
668,668,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,271000.0,,,0,1170,525,Upto 1/2,Rarely filled up,4.0,,-645,1.1251010766788274
669,669,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,103000.0,,,0,754,754,Upto 3/4,Usually filled up,3.0,,0,1.1251010766788274
670,670,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,217000.0,,,0,478,478,Upto 1/2,Usually filled up,3.0,,0,1.1251010766788274
671,671,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2015.0,50000.0,,,0,1000,100,Upto 1/4,Rarely filled up,1.0,Ground water recharge,-900,1.1251010766788274
672,672,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1925,1540,Upto 3/4,Usually filled up,25.0,,-385,1.1251010766788274
673,673,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5209,3049,Full,Filled up every year,50.0,,-2160,1.1251010766788274
674,674,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4000,3550,Full,Filled up every year,10.0,,-450,1.1251010766788274
675,675,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7500,5650,Full,Filled up every year,12.0,,-1850,1.1251010766788274
676,676,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2000,1750,Full,Filled up every year,15.0,,-250,1.1251010766788274
677,677,Rural,UTTARAKHAND,PITHORGARH,Tank,1,Pisciculture,Man-made,2015.0,250000.0,,,0,28,25,Full,Filled up every year,6.0,Irrigation,-3,1.1251010766788274
678,678,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3600,1800,Full,Filled up every year,12.0,,-1800,1.1251010766788274
679,679,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,810,120,Nil/Negligible filled up,Never filled up,1.0,,-690,1.1251010766788274
680,680,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2200,1000,Nil/Negligible filled up,Never filled up,1.0,,-1200,1.1251010766788274
681,681,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,1,Pisciculture,Man-made,2017.0,150000.0,,,0,48,48,Full,Usually filled up,1.0,Domestic/Drinking,0,1.1251010766788274
682,682,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,1,Pisciculture,Man-made,2017.0,60000.0,,,0,50,40,Upto 1/2,Usually filled up,1.0,Ground water recharge,-10,1.1251010766788274
683,683,Rural,UTTARAKHAND,CHAMOLI,Ponds,1,Domestic/Drinking,Man-made,2017.0,100000.0,,,0,35,30,Full,Usually filled up,15.0,,-5,1.1251010766788274
684,684,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,1,Pisciculture,Man-made,2015.0,80000.0,,,0,60,30,Upto 1/2,Usually filled up,1.0,Ground water recharge,-30,1.1251010766788274
685,685,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,0,other,Man-made,2016.0,50000.0,,,0,60,10,Upto 1/2,Rarely filled up,3.0,,-50,1.1251010766788274
686,686,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,100000.0,,,0,9481,9481,Upto 1/4,Rarely filled up,4.0,,0,1.1251010766788274
