level_0,index,Area_Type,State Name,District Name,Water_Body_Type,Water_body_in_use,Reason_for_Water_Body_Use,Water_Body_Nature,construcion_year,construction_cost,Renovation_Year,renovation_cost,Repair_Renovation_Status,Original_Storage_Capacity,Present_Storage_Capacity,filled_up_storage_name,filled_up_storage_space_name,no_people_benefited_by_water_body,reason_water_body_in_use_name2,storage_capacity_change,population_density_benefited
1238,1238,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,222,111,Upto 1/2,Usually filled up,3.0,,-111,1.1251010766788274
1239,1239,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,10107,5053,Upto 1/2,Usually filled up,4.0,,-5054,1.1251010766788274
1240,1240,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2016.0,50000.0,,,0,1800,1300,Upto 3/4,Usually filled up,1.0,Ground water recharge,-500,1.1251010766788274
1241,1241,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2017.0,35000.0,,,0,500,100,Upto 1/4,Rarely filled up,1.0,Ground water recharge,-400,1.1251010766788274
1242,1242,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2016.0,1000000.0,,,0,1800,1200,Upto 1/2,Rarely filled up,10.0,Ground water recharge,-600,1.1251010766788274
1243,1243,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Man-made,2016.0,200000.0,,,0,13500,9000,Upto 1/2,Usually filled up,4.0,Ground water recharge,-4500,1.1251010766788274
1244,1244,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,80000.0,,,0,7687,4600,Upto 3/4,Usually filled up,2.0,,-3087,1.1251010766788274
1245,1245,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2013.0,80000.0,,,0,1484,1246,Upto 1/4,Rarely filled up,3.0,,-238,1.1251010766788274
1246,1246,Rural,UTTARAKHAND,DEHRADUN,Ponds,1,Ground water recharge,Natural,,,,,0,7900,4900,Upto 3/4,Usually filled up,8.0,Irrigation,-3000,1.1251010766788274
1247,1247,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7056,5600,Full,Filled up every year,10.0,,-1456,1.1251010766788274
1248,1248,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,15272,7600,Full,Filled up every year,10.0,,-7672,1.1251010766788274
1249,1249,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,119000.0,,,0,3888,1944,Upto 1/2,Rarely filled up,3.0,,-1944,1.1251010766788274
1250,1250,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,164000.0,,,0,3900,2925,Nil/Negligible filled up,Rarely filled up,3.0,,-975,1.1251010766788274
1251,1251,Rural,UTTARAKHAND,PITHORGARH,Tank,1,Pisciculture,Man-made,2018.0,100000.0,,,0,24,24,Full,Filled up every year,8.0,Recreation,0,1.1251010766788274
1252,1252,Rural,UTTARAKHAND,PITHORGARH,Tank,1,Pisciculture,Man-made,2018.0,100000.0,,,0,24,20,Full,Filled up every year,7.0,Recreation,-4,1.1251010766788274
1253,1253,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,180000.0,,,0,3276,2730,Upto 3/4,Usually filled up,4.0,,-546,1.1251010766788274
1254,1254,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,100000.0,,,0,792,792,Nil/Negligible filled up,Rarely filled up,3.0,,0,1.1251010766788274
1255,1255,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,86000.0,,,0,1120,840,Upto 3/4,Usually filled up,3.0,,-280,1.1251010766788274
1256,1256,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,9108,9100,Full,Filled up every year,10.0,,-8,1.1251010766788274
1257,1257,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1800,1200,Nil/Negligible filled up,Never filled up,2.0,,-600,1.1251010766788274
1258,1258,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1998,1900,Full,Filled up every year,10.0,,-98,1.1251010766788274
1259,1259,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7710,5140,Full,Filled up every year,10.0,,-2570,1.1251010766788274
1260,1260,Urban,UTTARAKHAND,HARIDWAR,Ponds,0,other,Natural,,,,,0,2700,100,Nil/Negligible filled up,Never filled up,1.0,,-2600,1.1251010766788274
1261,1261,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,9200,7908,Full,Filled up every year,10.0,,-1292,1.1251010766788274
1262,1262,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1320,1090,Upto 3/4,Usually filled up,3.0,,-230,1.1251010766788274
1263,1263,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6860,5050,Upto 3/4,Usually filled up,5.0,,-1810,1.1251010766788274
1264,1264,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,0,other,Man-made,2016.0,50000.0,,,0,60,10,Upto 1/4,Rarely filled up,3.0,,-50,1.1251010766788274
1265,1265,Rural,UTTARAKHAND,UTTARKASHI,Tank,0,other,Man-made,1990.0,40000.0,,,0,40,40,Nil/Negligible filled up,Rarely filled up,2.0,Irrigation,0,1.1251010766788274
1266,1266,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,90000.0,,,0,2070,2070,Upto 1/4,Rarely filled up,4.0,,0,1.1251010766788274
1267,1267,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,0,other,Man-made,2017.0,60000.0,,,0,72,5,Upto 1/2,Rarely filled up,1.0,,-67,1.1251010766788274
1268,1268,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,1,Pisciculture,Man-made,2017.0,50000.0,,,0,60,40,Upto 3/4,Rarely filled up,1.0,Ground water recharge,-20,1.1251010766788274
1269,1269,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,1,Pisciculture,Man-made,2015.0,60000.0,,,0,30,20,Upto 3/4,Usually filled up,1.0,Ground water recharge,-10,1.1251010766788274
1270,1270,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,80000.0,,,0,3840,2366,Upto 1/4,Rarely filled up,3.0,,-1474,1.1251010766788274
1271,1271,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,100000.0,,,0,3607,3607,Upto 1/2,Usually filled up,1.0,,0,1.1251010766788274
1272,1272,Rural,UTTARAKHAND,ALMORA,Ponds,1,Pisciculture,Man-made,2017.0,50000.0,,,0,100,100,Full,Filled up every year,1.0,Other,0,1.1251010766788274
1273,1273,Rural,UTTARAKHAND,ALMORA,Ponds,1,Pisciculture,Man-made,2017.0,30000.0,,,0,50,50,Full,Filled up every year,1.0,Other,0,1.1251010766788274
1274,1274,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3108,1206,Full,Filled up every year,4.0,,-1902,1.1251010766788274
1275,1275,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3500,2100,Full,Filled up every year,6.0,Pisciculture,-1400,1.1251010766788274
1276,1276,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5500,4200,Full,Filled up every year,8.0,,-1300,1.1251010766788274
1277,1277,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Man-made,1985.0,85000.0,2015.0,20000.0,0,35780,29820,Upto 3/4,Usually filled up,10.0,Ground water recharge,-5960,1.491
1278,1278,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1160,800,Full,Filled up every year,5.0,,-360,1.1251010766788274
1279,1279,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3000,2600,Full,Filled up every year,3.0,,-400,1.1251010766788274
1280,1280,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6000,4200,Full,Filled up every year,4.0,,-1800,1.1251010766788274
1281,1281,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2400,2150,Full,Filled up every year,4.0,,-250,1.1251010766788274
1282,1282,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1400,1080,Full,Filled up every year,1.0,,-320,1.1251010766788274
1283,1283,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1350,940,Full,Filled up every year,1.0,,-410,1.1251010766788274
1284,1284,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,11040,9560,Full,Filled up every year,7.0,,-1480,1.1251010766788274
1285,1285,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1500,1060,Full,Filled up every year,1.0,,-440,1.1251010766788274
1286,1286,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3500,2860,Full,Filled up every year,1.0,,-640,1.1251010766788274
1287,1287,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4554,3580,Full,Filled up every year,3.0,,-974,1.1251010766788274
1288,1288,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,14800,12650,Full,Filled up every year,8.0,,-2150,1.1251010766788274
1289,1289,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6300,4980,Full,Filled up every year,2.0,,-1320,1.1251010766788274
1290,1290,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Pisciculture,Natural,,,,,0,30368,25980,Full,Filled up every year,10.0,Ground water recharge,-4388,1.1251010766788274
1291,1291,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,11520,8520,Full,Filled up every year,2.0,,-3000,1.1251010766788274
1292,1292,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,560,413,Full,Filled up every year,1.0,,-147,1.1251010766788274
1293,1293,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1680,1405,Full,Filled up every year,2.0,,-275,1.1251010766788274
1294,1294,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,100000.0,,,0,10000,8994,Full,Usually filled up,4.0,,-1006,1.1251010766788274
1295,1295,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,90000.0,,,0,14400,13200,Upto 1/2,Rarely filled up,3.0,,-1200,1.1251010766788274
1296,1296,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2013.0,80000.0,,,0,2623,623,Upto 1/4,Never filled up,3.0,,-2000,1.1251010766788274
1297,1297,Rural,UTTARAKHAND,DEHRADUN,Ponds,0,other,Man-made,2017.0,40000.0,,,0,19,19,Upto 1/2,Rarely filled up,3.0,,0,1.1251010766788274
1298,1298,Rural,UTTARAKHAND,CHAMOLI,Water consv schemes/percolation tanks/check-dams,1,Domestic/Drinking,Man-made,2016.0,150000.0,,,0,0,0,,,20.0,,0,1.1251010766788274
1299,1299,Rural,UTTARAKHAND,CHAMOLI,Ponds,1,Recreation,Natural,,,,,0,2250,1125,Upto 1/2,Usually filled up,150.0,Religious,-1125,1.1251010766788274
1300,1300,Rural,UTTARAKHAND,NANITAL,Ponds,0,other,Natural,,,2012.0,1000.0,0,9,1,Nil/Negligible filled up,Never filled up,3.0,,-8,0.001
1301,1301,Rural,UTTARAKHAND,CHAMOLI,Tank,1,Pisciculture,Man-made,2016.0,100000.0,,,0,96,96,Full,Filled up every year,5.0,Other,0,1.1251010766788274
1302,1302,Rural,UTTARAKHAND,BAGESHWAR,Tank,1,Irrigation,Natural,,,,,0,12,10,Full,Filled up every year,10.0,Ground water recharge,-2,1.1251010766788274
1303,1303,Urban,UTTARAKHAND,NANITAL,Lakes,1,Recreation,Natural,,,2017.0,356000.0,0,2432,1823,Upto 3/4,Usually filled up,113.0,Pisciculture,-609,0.005120787
1304,1304,Rural,UTTARAKHAND,RUDARPRAYAG,Tank,1,Pisciculture,Man-made,2017.0,250000.0,,,0,35,35,Full,Filled up every year,6.0,Irrigation,0,1.1251010766788274
1305,1305,Rural,UTTARAKHAND,RUDARPRAYAG,Ponds,1,Pisciculture,Man-made,2017.0,100000.0,,,0,225,225,Full,Filled up every year,1.0,Ground water recharge,0,1.1251010766788274
1306,1306,Rural,UTTARAKHAND,CHAMOLI,Ponds,1,Pisciculture,Man-made,2018.0,400000.0,,,0,300,300,Full,Usually filled up,10.0,,0,1.1251010766788274
1307,1307,Rural,UTTARAKHAND,CHAMOLI,Ponds,1,Ground water recharge,Natural,,,,,0,800,800,Full,Usually filled up,20.0,,0,1.1251010766788274
1308,1308,Rural,UTTARAKHAND,PAURI,Ponds,1,Pisciculture,Man-made,1995.0,4500000.0,,,0,10000,10000,Full,Filled up every year,50.0,Recreation,0,1.1251010766788274
1309,1309,Rural,UTTARAKHAND,PAURI,Ponds,0,other,Natural,,,,,0,50,10,Nil/Negligible filled up,Never filled up,1.0,,-40,1.1251010766788274
1310,1310,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,1991.0,12000.0,2006.0,8000.0,0,7200,2880,Upto 3/4,Usually filled up,9.0,Ground water recharge,-4320,0.36
1311,1311,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Man-made,2000.0,30000.0,2012.0,3000.0,0,2112,1600,Upto 3/4,Usually filled up,15.0,Other,-512,0.533333333
1312,1312,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Man-made,2000.0,50000.0,2012.0,5000.0,0,3600,2800,Upto 3/4,Filled up every year,12.0,Ground water recharge,-800,0.56
1313,1313,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Man-made,2011.0,432000.0,2017.0,80000.0,0,96000,48000,Upto 3/4,Usually filled up,15.0,Ground water recharge,-48000,0.6
1314,1314,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Man-made,2000.0,40000.0,2010.0,3000.0,0,3042,2500,Upto 3/4,Usually filled up,16.0,Pisciculture,-542,0.833333333
1315,1315,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,80000.0,,,0,400,330,Upto 1/2,Rarely filled up,4.0,,-70,1.1251010766788274
1316,1316,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,90000.0,,,0,2520,2225,Upto 1/4,Rarely filled up,2.0,,-295,1.1251010766788274
1317,1317,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2013.0,80000.0,,,0,2832,1045,Nil/Negligible filled up,Rarely filled up,2.0,,-1787,1.1251010766788274
1318,1318,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,812,412,Upto 1/2,Usually filled up,1.0,,-400,1.1251010766788274
1319,1319,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,70000.0,,,0,1050,750,Nil/Negligible filled up,Rarely filled up,4.0,,-300,1.1251010766788274
1320,1320,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,80000.0,,,0,4056,3321,Upto 1/4,Rarely filled up,2.0,,-735,1.1251010766788274
1321,1321,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,80000.0,,,0,1576,600,Upto 1/2,Rarely filled up,2.0,,-976,1.1251010766788274
1322,1322,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,4384,1461,Upto 1/2,Usually filled up,2.0,,-2923,1.1251010766788274
1323,1323,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,5810,2324,Upto 3/4,Rarely filled up,4.0,,-3486,1.1251010766788274
1324,1324,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,2832,1133,Upto 1/4,Rarely filled up,4.0,,-1699,1.1251010766788274
1325,1325,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,3744,1248,Upto 1/2,Usually filled up,1.0,,-2496,1.1251010766788274
1326,1326,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,3722,1489,Nil/Negligible filled up,Rarely filled up,4.0,,-2233,1.1251010766788274
1327,1327,Rural,UTTARAKHAND,NANITAL,Ponds,1,Pisciculture,Natural,,,2016.0,20152.0,0,160,110,Upto 3/4,Usually filled up,5.0,Recreation,-50,0.005458515
1328,1328,Rural,UTTARAKHAND,NANITAL,Ponds,1,Pisciculture,Natural,,,2014.0,10500.0,0,265,240,Upto 3/4,Usually filled up,10.0,Recreation,-25,0.022857143
1329,1329,Rural,UTTARAKHAND,NANITAL,Ponds,1,Pisciculture,Natural,,,2015.0,12120.0,0,2640,2600,Upto 3/4,Usually filled up,10.0,Recreation,-40,0.214521452
1330,1330,Rural,UTTARAKHAND,NANITAL,Tank,1,Pisciculture,Man-made,2014.0,80000.0,2015.0,11000.0,0,50,45,Upto 3/4,Usually filled up,10.0,Recreation,-5,0.004090909
1331,1331,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,3600,1200,Upto 1/2,Rarely filled up,3.0,,-2400,1.1251010766788274
1332,1332,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,228,114,Nil/Negligible filled up,Rarely filled up,1.0,,-114,1.1251010766788274
1333,1333,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,238,119,Nil/Negligible filled up,Rarely filled up,2.0,,-119,1.1251010766788274
1334,1334,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,6983,1995,Upto 1/2,Usually filled up,2.0,,-4988,1.1251010766788274
1335,1335,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,1464,488,Upto 1/2,Usually filled up,2.0,,-976,1.1251010766788274
1336,1336,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,2463,821,Upto 1/2,Usually filled up,1.0,,-1642,1.1251010766788274
1337,1337,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,5658,1886,Nil/Negligible filled up,Usually filled up,4.0,,-3772,1.1251010766788274
1338,1338,Rural,UTTARAKHAND,ALMORA,Tank,1,Irrigation,Man-made,2016.0,400000.0,,,0,55,55,Full,Filled up every year,1.0,Pisciculture,0,1.1251010766788274
1339,1339,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2019.0,180000.0,,,0,83,60,Upto 3/4,Filled up every year,15.0,,-23,1.1251010766788274
1340,1340,Rural,UTTARAKHAND,ALMORA,Tank,0,other,Man-made,2012.0,220000.0,,,0,47,1,Nil/Negligible filled up,Never filled up,2.0,,-46,1.1251010766788274
1341,1341,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,1,Pisciculture,Man-made,2015.0,30000.0,,,0,300,100,Upto 1/4,Rarely filled up,9.0,,-200,1.1251010766788274
1342,1342,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2016.0,200000.0,,,0,66,66,Full,Filled up every year,5.0,,0,1.1251010766788274
1343,1343,Rural,UTTARAKHAND,ALMORA,Tank,0,other,Man-made,2017.0,250000.0,,,0,140,140,Full,Filled up every year,3.0,,0,1.1251010766788274
1344,1344,Rural,UTTARAKHAND,ALMORA,Tank,1,Irrigation,Man-made,2015.0,350000.0,,,0,80,80,Full,Filled up every year,6.0,Pisciculture,0,1.1251010766788274
1345,1345,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2015.0,300000.0,,,0,40,40,Full,Filled up every year,5.0,,0,1.1251010766788274
1346,1346,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2016.0,70000.0,,,0,112,112,Full,Filled up every year,5.0,,0,1.1251010766788274
1347,1347,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,80000.0,,,0,83,60,Upto 3/4,Filled up every year,10.0,,-23,1.1251010766788274
1348,1348,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,80000.0,,,0,83,60,Upto 3/4,Filled up every year,12.0,,-23,1.1251010766788274
1349,1349,Rural,UTTARAKHAND,ALMORA,Ponds,1,Pisciculture,Man-made,2016.0,100000.0,,,0,56,2,Upto 1/4,Rarely filled up,1.0,Ground water recharge,-54,1.1251010766788274
1350,1350,Rural,UTTARAKHAND,ALMORA,Tank,0,other,Man-made,2013.0,200000.0,,,0,72,72,Nil/Negligible filled up,Never filled up,2.0,,0,1.1251010766788274
1351,1351,Rural,UTTARAKHAND,ALMORA,Tank,0,other,Man-made,2011.0,60000.0,,,0,40,40,Upto 1/2,Usually filled up,1.0,,0,1.1251010766788274
1352,1352,Rural,UTTARAKHAND,ALMORA,Tank,0,other,Man-made,2012.0,260000.0,,,0,48,48,Upto 1/2,Usually filled up,4.0,,0,1.1251010766788274
1353,1353,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,160000.0,,,0,50,50,Full,Usually filled up,5.0,,0,1.1251010766788274
1354,1354,Rural,UTTARAKHAND,ALMORA,Tank,0,other,Man-made,2015.0,250000.0,,,0,110,110,Full,Usually filled up,4.0,,0,1.1251010766788274
1355,1355,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2015.0,250000.0,,,0,64,64,Full,Filled up every year,5.0,,0,1.1251010766788274
1356,1356,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2016.0,250000.0,,,0,64,64,Full,Filled up every year,6.0,,0,1.1251010766788274
1357,1357,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2015.0,250000.0,,,0,80,80,Full,Filled up every year,5.0,,0,1.1251010766788274
1358,1358,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,435000.0,,,0,56,56,Full,Filled up every year,8.0,,0,1.1251010766788274
1359,1359,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,335000.0,,,0,55,55,Full,Filled up every year,8.0,,0,1.1251010766788274
1360,1360,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2016.0,430000.0,,,0,123,123,Full,Filled up every year,8.0,,0,1.1251010766788274
1361,1361,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2015.0,340000.0,,,0,56,56,Upto 1/2,Rarely filled up,7.0,,0,1.1251010766788274
1362,1362,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2013.0,350000.0,,,0,56,56,Upto 1/4,Rarely filled up,7.0,,0,1.1251010766788274
1363,1363,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,370000.0,,,0,56,56,Upto 1/4,Rarely filled up,5.0,,0,1.1251010766788274
1364,1364,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,390000.0,,,0,56,56,Upto 1/4,Rarely filled up,7.0,,0,1.1251010766788274
1365,1365,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,360000.0,,,0,56,56,Upto 1/4,Rarely filled up,8.0,,0,1.1251010766788274
1366,1366,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,360000.0,,,0,56,56,Full,Usually filled up,8.0,,0,1.1251010766788274
1367,1367,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2016.0,390000.0,,,0,56,56,Full,Filled up every year,8.0,,0,1.1251010766788274
1368,1368,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2015.0,360000.0,,,0,56,56,Full,Filled up every year,8.0,,0,1.1251010766788274
1369,1369,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2017.0,428000.0,,,0,56,56,Full,Filled up every year,8.0,,0,1.1251010766788274
1370,1370,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2017.0,438000.0,,,0,56,56,Full,Filled up every year,8.0,,0,1.1251010766788274
1371,1371,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,256600.0,,,0,56,56,Upto 1/4,Rarely filled up,5.0,,0,1.1251010766788274
1372,1372,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,373400.0,,,0,56,56,Full,Filled up every year,8.0,,0,1.1251010766788274
1373,1373,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2014.0,354700.0,,,0,56,56,Upto 1/2,Rarely filled up,7.0,,0,1.1251010766788274
1374,1374,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2017.0,433000.0,,,0,56,56,Full,Filled up every year,8.0,,0,1.1251010766788274
1375,1375,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2016.0,397000.0,,,0,56,56,Upto 1/4,Rarely filled up,6.0,,0,1.1251010766788274
1376,1376,Rural,UTTARAKHAND,ALMORA,Tank,1,Irrigation,Man-made,2016.0,10000000.0,,,0,350,350,Full,Filled up every year,50.0,,0,1.1251010766788274
1377,1377,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2017.0,38000.0,,,0,99,99,Upto 3/4,Usually filled up,6.0,Ground water recharge,0,1.1251010766788274
1378,1378,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2017.0,420000.0,,,0,67,67,Upto 3/4,Usually filled up,7.0,,0,1.1251010766788274
1379,1379,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2018.0,415000.0,,,0,86,86,Nil/Negligible filled up,Rarely filled up,5.0,,0,1.1251010766788274
1380,1380,Rural,UTTARAKHAND,ALMORA,Tank,1,Irrigation,Man-made,2017.0,400000.0,,,0,52,50,Full,Filled up every year,1.0,Pisciculture,-2,1.1251010766788274
1381,1381,Rural,UTTARAKHAND,ALMORA,Ponds,1,Pisciculture,Man-made,2016.0,280000.0,,,0,40,10,Nil/Negligible filled up,Rarely filled up,1.0,Ground water recharge,-30,1.1251010766788274
1382,1382,Rural,UTTARAKHAND,ALMORA,Tank,1,Irrigation,Man-made,2017.0,350000.0,,,0,50,50,Full,Filled up every year,1.0,Pisciculture,0,1.1251010766788274
1383,1383,Rural,UTTARAKHAND,ALMORA,Tank,1,Irrigation,Man-made,2016.0,400000.0,,,0,85,85,Full,Filled up every year,1.0,Pisciculture,0,1.1251010766788274
